p_year,t_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
1999,660.0,65.0,47.0,1734.94,88.4,-101.4083,32.2142
1999,660.0,65.0,47.0,1734.94,88.4,-101.35889,32.1759
1999,660.0,65.0,47.0,1734.94,88.4,-101.42149,32.2152
1999,660.0,65.0,47.0,1734.94,88.4,-101.36119,32.16719
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51762,33.01464
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52744,33.07086
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52064,33.03036
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56281,33.00883
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53799,33.08588
2020,2820.0,89.0,127.0,12667.69,152.4,-100.49732,33.03795
2020,1790.0,80.0,100.0,7853.98,130.1,-100.55681,32.89385
2020,1790.0,80.0,100.0,7853.98,130.1,-100.5651,32.89236
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56575,32.89686
2020,1790.0,80.0,100.0,7853.98,130.1,-100.57878,32.90409
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57687,32.88889
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53352,33.02515
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54147,32.99033
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52293,33.05171
2020,2820.0,89.0,127.0,12667.69,152.4,-100.55832,33.03214
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5686,32.89082
2020,2820.0,89.0,127.0,12667.69,152.4,-100.50671,33.04271
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52367,33.03871
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57236,32.8898
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53662,32.98877
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54065,33.09126
2020,1790.0,80.0,100.0,7853.98,130.1,-100.5603,32.89323
2020,1790.0,80.0,100.0,7853.98,130.1,-100.60146,32.87976
2020,2820.0,89.0,127.0,12667.69,152.4,-100.58066,33.00531
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54122,33.03074
2020,2820.0,89.0,127.0,12667.69,152.4,-100.49898,33.04936
2020,1790.0,80.0,100.0,7853.98,130.1,-100.5874,32.87516
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52808,33.05191
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52942,33.03648
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57116,32.91568
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53845,33.03853
2020,2820.0,89.0,127.0,12667.69,152.4,-100.59049,33.00243
2020,1790.0,80.0,100.0,7853.98,130.1,-100.5946,32.87386
2020,2820.0,89.0,127.0,12667.69,152.4,-100.505,33.00221
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53359,33.03643
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56422,32.91092
2020,2820.0,89.0,127.0,12667.69,152.4,-100.499,33.00184
2020,1790.0,80.0,100.0,7853.98,130.1,-100.5881,32.89581
2020,2820.0,89.0,127.0,12667.69,152.4,-100.55611,33.01964
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5071,33.05494
2020,1790.0,80.0,100.0,7853.98,130.1,-100.59412,32.90086
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52546,33.02178
2020,1790.0,80.0,100.0,7853.98,130.1,-100.58898,32.88286
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57781,32.91018
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57259,33.00726
2020,2820.0,89.0,127.0,12667.69,152.4,-100.55407,33.03184
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51255,33.00785
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53223,33.06864
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5514,33.02129
2020,2820.0,89.0,127.0,12667.69,152.4,-100.58538,33.00439
2020,1790.0,80.0,100.0,7853.98,130.1,-100.58295,32.90431
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52039,33.07149
2020,1790.0,80.0,100.0,7853.98,130.1,-100.58499,32.89265
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54499,33.08201
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5192,33.02145
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57022,32.89464
2020,2820.0,89.0,127.0,12667.69,152.4,-100.57375,32.90838
2020,1790.0,80.0,100.0,7853.98,130.1,-100.58606,32.90645
2020,2820.0,89.0,127.0,12667.69,152.4,-100.58901,32.90821
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51813,33.05258
2020,1790.0,80.0,100.0,7853.98,130.1,-100.57486,32.91821
2020,1790.0,80.0,100.0,7853.98,130.1,-100.57402,32.90321
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54694,33.02787
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5816,32.88803
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56403,32.98405
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5294,32.96099
2020,1790.0,80.0,100.0,7853.98,130.1,-100.59956,32.87219
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51564,33.03854
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54704,32.99675
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52813,33.02889
2020,2820.0,89.0,127.0,12667.69,152.4,-100.50873,33.01292
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54548,33.09148
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56799,32.91327
2020,1790.0,80.0,100.0,7853.98,130.1,-100.59841,32.89005
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53332,32.96473
2020,1790.0,80.0,100.0,7853.98,130.1,-100.59158,32.89856
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56976,32.98749
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54961,33.03352
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53368,33.04452
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54331,33.04118
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51244,33.05536
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51517,33.0123
2020,2820.0,89.0,127.0,12667.69,152.4,-100.51091,33.04374
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56841,33.00704
2020,1790.0,80.0,100.0,7853.98,130.1,-100.59386,32.88686
2020,2820.0,89.0,127.0,12667.69,152.4,-100.52982,33.05947
2020,1790.0,80.0,100.0,7853.98,130.1,-100.60215,32.8946
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5562,32.99262
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5025,33.04059
2020,2820.0,89.0,127.0,12667.69,152.4,-100.53255,32.9761
2020,2820.0,89.0,127.0,12667.69,152.4,-100.49897,33.0593
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56061,32.91028
2020,2820.0,89.0,127.0,12667.69,152.4,-100.49427,33.03181
2020,2820.0,89.0,127.0,12667.69,152.4,-100.56276,32.99558
2020,2820.0,89.0,127.0,12667.69,152.4,-100.5438,33.05064
2020,2820.0,89.0,127.0,12667.69,152.4,-100.54948,33.08141
2017,2300.0,80.0,116.0,10568.32,138.1,-101.03733,32.89556
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04134,32.89563
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98238,32.87596
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98441,32.93955
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97148,32.9037
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01791,32.90577
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94024,32.88164
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01855,32.91614
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96761,32.90452
2017,2300.0,80.0,116.0,10568.32,138.1,-101.0323,32.90742
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95278,32.84934
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96608,32.89199
2017,2300.0,80.0,116.0,10568.32,138.1,-101.03948,32.90556
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99365,32.91711
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96054,32.85076
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01589,32.92489
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97738,32.88876
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98051,32.939
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98901,32.89021
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00407,32.92078
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97239,32.87886
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97308,32.88908
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99015,32.87572
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96243,32.89323
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04414,32.90523
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97238,32.92234
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97623,32.93598
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00261,32.87671
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01435,32.89235
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94185,32.89902
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98509,32.88966
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96065,32.88151
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97222,32.84913
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99155,32.85946
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98627,32.87582
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01299,32.88123
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01276,32.92209
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00745,32.89984
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99763,32.91722
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99714,32.85951
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99524,32.9417
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98074,32.90414
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99345,32.89058
2017,2300.0,80.0,116.0,10568.32,138.1,-100.9876,32.85933
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95322,32.89611
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98389,32.86139
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02573,32.90257
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94894,32.90727
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97324,32.86629
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02978,32.88414
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96788,32.92222
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96858,32.87843
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96838,32.86588
2017,2300.0,80.0,116.0,10568.32,138.1,-100.97714,32.90326
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99703,32.89035
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00077,32.89029
2017,2300.0,80.0,116.0,10568.32,138.1,-100.98793,32.90592
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95131,32.86426
2017,2300.0,80.0,116.0,10568.32,138.1,-101.02397,32.91259
2017,2300.0,80.0,116.0,10568.32,138.1,-101.00922,32.92171
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01872,32.88121
2017,2300.0,80.0,116.0,10568.32,138.1,-101.01402,32.90599
2017,2300.0,80.0,116.0,10568.32,138.1,-100.99144,32.94153
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95647,32.90717
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96442,32.85054
2017,2300.0,80.0,116.0,10568.32,138.1,-100.95535,32.8652
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94555,32.89691
2017,2300.0,80.0,116.0,10568.32,138.1,-100.96391,32.90597
2017,2300.0,80.0,116.0,10568.32,138.1,-100.94943,32.89632
2017,2300.0,80.0,116.0,10568.32,138.1,-101.04857,32.90463
2017,2300.0,80.0,116.0,10568.32,138.1,-100.93641,32.88242
