xlong,ylat
-100.01824,31.09132
-99.96059,31.11451
-100.02533,31.11829
-100.02802,31.09747
-100.04456,31.0884
-99.98276,31.09367
-100.00677,31.09026
-100.05623,31.12199
-100.06014,31.12256
-99.96707,31.1236
-100.05193,31.14181
-99.99856,31.09015
-100.05283,31.09173
-99.97665,31.10938
-99.97112,31.12264
-100.04515,31.13997
-100.02931,31.12972
-100.00282,31.08951
-100.06139,31.09182
-100.03814,31.10345
-99.97577,31.1217
-100.02486,31.09504
-100.02181,31.09286
-99.96821,31.11317
-100.05259,31.12048
-100.0253,31.12994
-99.99069,31.09083
-100.04867,31.08999
-99.99451,31.08986
-99.98391,31.10691
-97.45372,26.202
-97.47756,26.14968
-97.47015,26.16021
-97.45618,26.22756
-97.48595,26.14747
-97.47226,26.24931
-97.52745,26.15069
-97.5258,26.17318
-97.49492,26.1408
-97.46201,26.25297
-97.4512,26.23306
-97.48761,26.19629
-97.4888,26.17319
-97.48383,26.23551
-97.49671,26.17359
-97.45338,26.22965
-97.48162,26.17464
-97.52407,26.15193
-97.45287,26.18821
-97.52483,26.18819
-97.47342,26.20098
-97.52905,26.17133
-97.47688,26.19984
-97.44949,26.25261
-97.45615,26.18557
-97.46555,26.25232
-97.49889,26.13976
-97.47154,26.15481
-97.51833,26.19088
-97.4913,26.19501
-97.48528,26.17397
-97.47434,26.15175
-97.48374,26.19703
-97.49262,26.173
-97.52216,26.17434
-97.48697,26.2334
-97.46932,26.25209
-97.48007,26.198
-97.48813,26.1447
-97.47099,26.17623
-97.4474,26.25625
-97.4781,26.17508
-97.47427,26.17521
-97.53243,26.16939
-97.53565,26.16686
-97.45137,26.20546
-97.52153,26.18953
-97.45207,26.25
-97.47408,26.2445
-97.4772,26.24114
-97.53083,26.14943
-97.44917,26.23674
-97.5355,26.14781
-97.48016,26.23604
-97.49163,26.14311
-100.84039,32.7622
-100.83629,32.7721
-100.83479,32.75039
-100.82329,32.78849
-100.84799,32.77919
-100.84379,32.76389
-100.82169,32.75229
-100.8225,32.74199
-100.83239,32.76
-100.79479,32.74189
-100.83049,32.7683
-100.81369,32.74799
-100.83819,32.7613
-100.82579,32.79129
-100.84029,32.7524
-100.82819,32.77689
-100.83759,32.75139
-100.82079,32.78659
-100.74639,32.75119
-100.80639,32.74659
-100.82449,32.765
-100.80789,32.75679
-100.82519,32.77549
-100.82709,32.75489
-100.76839,32.7604
-100.81399,32.801
-100.76569,32.75869
-100.83169,32.7818
-100.79769,32.76539
-100.80019,32.76699
-100.84709,32.76569
-100.74159,32.7729
-100.81369,32.7678
-100.81179,32.75779
-100.77989,32.7511
-100.81919,32.75069
-100.84229,32.77599
-100.83349,32.76999
