ylat,xlong,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
32.2142,-101.4083,13.663249,7.3413343,25.421963,7.974176,187.26772,81.98748
32.1759,-101.35889,13.920857,7.3063316,26.22251,7.7553663,190.22826,81.49942
32.2152,-101.42149,13.65675,7.341335,25.421963,7.974176,187.26772,81.98748
32.16719,-101.36119,13.842858,7.306332,26.22251,7.7553663,190.22826,81.49942
33.01464,-100.51762,13.44383,7.359945,24.591572,7.149739,189.70074,93.81597
33.07086,-100.52744,13.553893,7.3662395,24.818277,7.0278707,191.42067,93.51292
33.03036,-100.52064,13.44383,7.359945,24.591572,7.149739,189.70074,93.81597
33.00883,-100.56281,13.479089,7.3446755,24.36159,7.076603,190.43332,93.36775
33.08588,-100.53799,13.579892,7.36624,24.818277,7.0278707,191.42067,93.51292
33.03795,-100.49732,13.450331,7.359945,24.591572,7.149739,189.70074,93.81597
32.89385,-100.55681,13.842814,7.4023547,25.046444,7.291647,190.34874,90.923096
32.89236,-100.5651,13.797316,7.4023557,25.046444,7.291647,190.34874,90.923096
32.89686,-100.56575,13.849315,7.4023547,25.046444,7.291647,190.34874,90.923096
32.90409,-100.57878,13.717514,7.3594418,24.57094,7.270794,189.63303,92.37065
32.88889,-100.57687,13.777814,7.402355,25.046444,7.291647,190.34874,90.923096
33.02515,-100.53352,13.495831,7.359945,24.591572,7.149739,189.70074,93.81597
32.99033,-100.54147,13.456832,7.359945,24.591572,7.149739,189.70074,93.81597
33.05171,-100.52293,13.423892,7.36624,24.818277,7.0278707,191.42067,93.51292
33.03214,-100.55832,13.531087,7.3446746,24.36159,7.076603,190.43332,93.36775
32.89082,-100.5686,13.777814,7.402355,25.046444,7.291647,190.34874,90.923096
33.04271,-100.50671,13.365393,7.36624,24.818277,7.0278707,191.42067,93.51292
33.03871,-100.52367,13.39833,7.359945,24.591572,7.149739,189.70074,93.81597
32.8898,-100.57236,13.790813,7.402355,25.046444,7.291647,190.34874,90.923096
32.98877,-100.53662,13.456832,7.359945,24.591572,7.149739,189.70074,93.81597
33.09126,-100.54065,13.586392,7.36624,24.818277,7.0278707,191.42067,93.51292
32.89323,-100.5603,13.849315,7.4023547,25.046444,7.291647,190.34874,90.923096
32.87976,-100.60146,13.784315,7.4023557,25.046444,7.291647,190.34874,90.923096
33.00531,-100.58066,13.511588,7.344676,24.36159,7.076603,190.43332,93.36775
33.03074,-100.54122,13.41783,7.3599453,24.591572,7.149739,189.70074,93.81597
33.04936,-100.49898,13.4368925,7.36624,24.818277,7.0278707,191.42067,93.51292
32.87516,-100.5874,13.797316,7.4023557,25.046444,7.291647,190.34874,90.923096
33.05191,-100.52808,13.397892,7.3662395,24.818277,7.0278707,191.42067,93.51292
33.03648,-100.52942,13.287829,7.359945,24.591572,7.149739,189.70074,93.81597
32.91568,-100.57116,13.756514,7.3594418,24.57094,7.270794,189.63303,92.37065
33.03853,-100.53845,13.346332,7.359945,24.591572,7.149739,189.70074,93.81597
33.00243,-100.59049,13.511588,7.344676,24.36159,7.076603,190.43332,93.36775
32.87386,-100.5946,13.732314,7.4023557,25.046444,7.291647,190.34874,90.923096
33.00221,-100.505,13.573829,7.3599443,24.591572,7.149739,189.70074,93.81597
33.03643,-100.53359,13.33333,7.359945,24.591572,7.149739,189.70074,93.81597
32.91092,-100.56422,13.763015,7.3594418,24.57094,7.270794,189.63303,92.37065
33.00184,-100.499,13.66483,7.3599453,24.591572,7.149739,189.70074,93.81597
32.89581,-100.5881,13.816814,7.4023557,25.046444,7.291647,190.34874,90.923096
33.01964,-100.55611,13.479089,7.3446755,24.36159,7.076603,190.43332,93.36775
33.05494,-100.5071,13.501891,7.3662395,24.818277,7.0278707,191.42067,93.51292
32.90086,-100.59412,13.763015,7.3594418,24.57094,7.270794,189.63303,92.37065
33.02178,-100.52546,13.43733,7.359945,24.591572,7.149739,189.70074,93.81597
32.88286,-100.58898,13.771315,7.4023557,25.046444,7.291647,190.34874,90.923096
32.91018,-100.57781,13.730514,7.359442,24.57094,7.270794,189.63303,92.37065
33.00726,-100.57259,13.524589,7.344676,24.36159,7.076603,190.43332,93.36775
33.03184,-100.55407,13.609089,7.344676,24.36159,7.076603,190.43332,93.36775
33.00785,-100.51255,13.560831,7.359945,24.591572,7.149739,189.70074,93.81597
33.06864,-100.53223,13.501891,7.3662395,24.818277,7.0278707,191.42067,93.51292
33.02129,-100.5514,13.492086,7.344675,24.36159,7.076603,190.43332,93.36775
33.00439,-100.58538,13.524589,7.344676,24.36159,7.076603,190.43332,93.36775
32.90431,-100.58295,13.685015,7.3594418,24.57094,7.270794,189.63303,92.37065
33.07149,-100.52039,13.508392,7.3662395,24.818277,7.0278707,191.42067,93.51292
32.89265,-100.58499,13.816814,7.4023557,25.046444,7.291647,190.34874,90.923096
33.08201,-100.54499,13.534393,7.36624,24.818277,7.0278707,191.42067,93.51292
